"product_id","vendor_id","supply_frequency"
"P1022","V19","Bi-weekly"
"P1023","V17","Monthly"
"P1024","V7","Quarterly"
"P1025","V23","Quarterly"
"P1026","V10","On-Demand"
"P1027","V9","Weekly"
"P1028","V17","Daily"
"P1029","V26","Quarterly"
"P1030","V23","On-Demand"
"P1031","V26","Weekly"
"P1032","V22","Daily"
"P1033","V25","Quarterly"
"P1034","V21","Daily"
"P1035","V9","Bi-weekly"
"P1036","V3","Quarterly"
"P1037","V28","Daily"
"P1038","V14","Quarterly"
"P1039","V4","Monthly"
"P1040","V17","Weekly"
"P1041","V27","Weekly"
"P1042","V13","Weekly"
"P1043","V14","On-Demand"
"P1044","V8","Monthly"
"P1045","V3","Daily"
"P1046","V26","Weekly"
"P1047","V21","Weekly"
"P1048","V7","Daily"
"P1049","V22","Monthly"
"P1050","V30","Bi-weekly"
"P1051","V20","Daily"
"P1052","V22","Daily"
"P1053","V27","Daily"
"P1054","V15","Daily"
"P1055","V16","Bi-weekly"
"P1056","V9","Weekly"
"P1057","V1","Weekly"
"P1058","V13","Monthly"
"P1059","V25","Daily"
"P1060","V19","Quarterly"
"P1061","V27","Weekly"
"P1062","V20","Weekly"
"P1063","V12","Monthly"
"P1064","V30","Monthly"
"P1065","V13","Monthly"
"P1066","V18","Daily"
"P1067","V2","Daily"
"P1068","V26","Monthly"
"P1069","V22","Quarterly"
"P1070","V2","Monthly"
"P1071","V13","Quarterly"
"P1072","V2","Weekly"
"P1073","V30","On-Demand"
"P1074","V14","Quarterly"
"P1075","V11","On-Demand"
"P1076","V7","Weekly"
"P1077","V22","Bi-weekly"
"P1078","V23","Quarterly"
"P1079","V19","Monthly"
"P1080","V15","Bi-weekly"
"P1081","V14","Quarterly"
"P1082","V28","Bi-weekly"
"P1083","V5","Quarterly"
"P1084","V4","Weekly"
"P1085","V29","Weekly"
"P1086","V23","Bi-weekly"
"P1087","V26","Monthly"
"P1088","V14","Bi-weekly"
"P1089","V14","Weekly"
"P1090","V2","Quarterly"
"P1091","V17","Monthly"
"P1092","V17","Daily"
"P1093","V20","Quarterly"
"P1094","V18","Bi-weekly"
"P1095","V15","Daily"
"P1096","V14","Bi-weekly"
"P1097","V11","Quarterly"
"P1098","V23","Weekly"
"P1099","V8","Quarterly"
"P1100","V17","Bi-weekly"
"P1101","V15","On-Demand"
"P1102","V11","Monthly"
"P1103","V7","Daily"
"P1104","V23","Quarterly"
"P1105","V5","Weekly"
"P1106","V12","Weekly"
"P1107","V6","Monthly"
"P1108","V22","Bi-weekly"
"P1109","V1","Monthly"
"P1110","V20","Bi-weekly"
"P1111","V19","Quarterly"
"P1112","V7","Monthly"
"P1113","V11","Weekly"
"P1114","V7","Weekly"
"P1115","V15","Monthly"
"P1116","V17","Daily"
"P1117","V28","Monthly"
"P1118","V1","Monthly"
"P1119","V5","Bi-weekly"
"P1120","V20","Monthly"
"P1121","V11","Quarterly"
"P1122","V24","Monthly"
"P1123","V24","Bi-weekly"
"P1124","V24","Quarterly"
"P1125","V30","Quarterly"
"P1126","V2","Daily"
"P1127","V18","Weekly"
"P1128","V7","Daily"
"P1129","V27","Weekly"
"P1130","V26","Quarterly"
"P1131","V17","Quarterly"
"P1132","V29","Daily"
"P1133","V14","Weekly"
"P1134","V13","Weekly"
"P1135","V7","Monthly"
"P1136","V5","Weekly"
"P1137","V10","Bi-weekly"
"P1138","V4","Bi-weekly"
"P1139","V28","Monthly"
"P1140","V20","Daily"
"P1141","V7","Daily"
"P1142","V2","Monthly"
"P1143","V5","Weekly"
"P1144","V16","Quarterly"
"P1145","V24","Bi-weekly"
"P1146","V4","Bi-weekly"
"P1147","V22","Quarterly"
"P1148","V12","Daily"
"P1149","V23","Quarterly"
"P1150","V21","Daily"
"P1151","V8","Quarterly"
"P1152","V5","On-Demand"
"P1153","V3","Bi-weekly"
"P1154","V21","Monthly"
"P1155","V2","Quarterly"
"P1156","V12","Weekly"
"P1157","V16","Quarterly"
"P1158","V15","Quarterly"
"P1159","V25","Daily"
"P1160","V3","Bi-weekly"
"P1161","V14","Bi-weekly"
"P1162","V15","Weekly"
"P1163","V8","Daily"
"P1164","V16","Bi-weekly"
"P1165","V29","Quarterly"
"P1166","V6","Daily"
"P1167","V18","Daily"
"P1168","V2","Bi-weekly"
"P1169","V9","Monthly"
"P1170","V10","Monthly"
"P1171","V15","Weekly"
"P1172","V20","Monthly"
"P1173","V16","On-Demand"
"P1174","V20","Monthly"
"P1175","V28","Weekly"
"P1176","V29","Weekly"
"P1177","V4","Quarterly"
"P1178","V27","Bi-weekly"
"P1179","V20","Monthly"
"P1180","V6","Daily"
"P1181","V16","Daily"
"P1182","V10","Daily"
"P1183","V10","Weekly"
"P1184","V13","Weekly"
"P1185","V27","Monthly"
"P1186","V29","Bi-weekly"
"P1187","V20","Quarterly"
"P1188","V29","Quarterly"
"P1189","V16","Quarterly"
"P1190","V11","Quarterly"
"P1191","V24","Weekly"
"P1192","V27","On-Demand"
"P1193","V21","Daily"
"P1194","V3","Weekly"
"P1195","V18","Weekly"
"P1196","V22","On-Demand"
"P1197","V28","Weekly"
"P1198","V15","Daily"
"P1199","V7","Daily"
"P1200","V9","Daily"
"P1201","V7","Monthly"
"P1202","V10","On-Demand"
"P1203","V19","Quarterly"
"P1204","V23","Quarterly"
"P1205","V5","Monthly"
"P1206","V27","Monthly"
"P1207","V2","Bi-weekly"
"P1208","V15","Weekly"
"P1209","V27","Quarterly"
"P1210","V3","Quarterly"
"P1211","V7","Quarterly"
"P1212","V14","Monthly"
"P1213","V14","Bi-weekly"
"P1214","V22","Daily"
"P1215","V25","Monthly"
"P1216","V22","Monthly"
"P1217","V4","Bi-weekly"
"P1218","V24","Weekly"
"P1219","V14","Daily"
"P1220","V16","Bi-weekly"
"P1221","V13","Daily"
"P1222","V21","Bi-weekly"
"P1223","V10","Daily"
"P1224","V26","Monthly"
"P1225","V3","Weekly"
"P1226","V30","Bi-weekly"
"P1227","V29","Weekly"
"P1228","V8","Daily"
"P1229","V27","On-Demand"
"P1230","V26","Weekly"
"P1231","V9","Quarterly"
"P1232","V27","Bi-weekly"
"P1233","V27","Monthly"
"P1234","V9","Bi-weekly"
"P1235","V1","Bi-weekly"
"P1236","V30","Quarterly"
"P1237","V6","Monthly"
"P1238","V17","Bi-weekly"
"P1239","V24","Quarterly"
"P1240","V20","Monthly"
"P1241","V13","Monthly"
"P1242","V6","Daily"
"P1243","V19","Weekly"
"P1244","V2","Monthly"
"P1245","V14","Monthly"
"P1246","V18","Quarterly"
"P1247","V16","Bi-weekly"
"P1248","V23","Monthly"
"P1249","V19","On-Demand"
"P1250","V25","Weekly"
"P1251","V9","Weekly"
"P1252","V12","Monthly"
"P1253","V3","Daily"
"P1254","V16","Quarterly"
"P1255","V17","Weekly"
"P1256","V25","Bi-weekly"
"P1257","V17","Quarterly"
"P1258","V18","Bi-weekly"
"P1259","V11","Daily"
"P1260","V24","Bi-weekly"
"P1261","V25","Quarterly"
"P1262","V18","Daily"
"P1263","V4","Monthly"
"P1264","V16","Monthly"
"P1265","V22","Daily"
"P1266","V19","Weekly"
"P1267","V21","Weekly"
"P1268","V15","Bi-weekly"
"P1269","V10","Bi-weekly"
"P1270","V11","Weekly"
"P1271","V28","Weekly"
"P1272","V4","Quarterly"
"P1273","V4","Quarterly"
"P1274","V12","Monthly"
"P1275","V5","Quarterly"
"P1276","V3","Quarterly"
"P1277","V23","Quarterly"
"P1278","V8","Quarterly"
"P1279","V10","On-Demand"
"P1280","V16","Weekly"
"P1281","V29","Daily"
"P1282","V4","Daily"
"P1283","V21","Quarterly"
"P1284","V18","Weekly"
"P1285","V17","Weekly"
"P1286","V15","Bi-weekly"
"P1287","V22","Quarterly"
"P1288","V3","Quarterly"
"P1289","V21","Monthly"
"P1290","V26","Bi-weekly"
"P1291","V15","Quarterly"
"P1292","V3","Weekly"
"P1293","V29","Bi-weekly"
"P1294","V12","Bi-weekly"
"P1295","V18","Quarterly"
"P1296","V24","Daily"
"P1297","V24","Bi-weekly"
"P1298","V21","Daily"
"P1299","V10","Quarterly"
"P1300","V16","Weekly"
"P1301","V18","Bi-weekly"
"P1302","V13","Monthly"
"P1303","V18","Daily"
"P1304","V17","Quarterly"
"P1305","V13","Bi-weekly"
"P1306","V12","Monthly"
"P1307","V4","Weekly"
"P1308","V21","Quarterly"
"P1309","V8","Quarterly"
"P1310","V29","Quarterly"
"P1311","V18","Daily"
"P1312","V10","Monthly"
"P1313","V11","Daily"
"P1314","V18","Weekly"
"P1315","V2","Weekly"
"P1316","V22","Weekly"
"P1317","V4","Daily"
"P1318","V29","Weekly"
"P1319","V7","Quarterly"
"P1320","V29","Quarterly"
"P1321","V9","Quarterly"
"P1322","V7","Monthly"
"P1323","V8","Quarterly"
"P1324","V6","Monthly"
"P1325","V13","Bi-weekly"
"P1326","V12","Quarterly"
"P1327","V9","Daily"
"P1328","V10","Quarterly"
"P1329","V16","Bi-weekly"
"P1330","V25","Weekly"
"P1331","V3","Bi-weekly"
"P1332","V16","Monthly"
"P1333","V18","Weekly"
"P1334","V2","Weekly"
"P1335","V28","Weekly"
"P1336","V7","Monthly"
"P1337","V29","Daily"
"P1338","V15","Weekly"
"P1339","V10","Weekly"
"P1340","V26","Daily"
"P1341","V17","Daily"
"P1342","V28","Daily"
"P1343","V15","Daily"
"P1344","V10","Monthly"
"P1345","V21","Monthly"
"P1346","V1","Daily"
"P1347","V29","On-Demand"
"P1348","V7","On-Demand"
"P1349","V15","Bi-weekly"
"P1350","V11","Quarterly"
"P1351","V29","Monthly"
"P1352","V10","Monthly"
"P1353","V29","Monthly"
"P1354","V2","Monthly"
"P1355","V13","Daily"
"P1356","V17","Monthly"
"P1357","V27","Weekly"
"P1358","V7","Daily"
"P1359","V23","Weekly"
"P1360","V17","Quarterly"
"P1361","V3","Quarterly"
"P1362","V15","Monthly"
"P1363","V1","Quarterly"
"P1364","V5","Weekly"
"P1365","V23","Bi-weekly"
"P1366","V25","Bi-weekly"
"P1367","V14","Monthly"
"P1368","V24","Quarterly"
"P1369","V30","Bi-weekly"
"P1370","V27","Monthly"
"P1371","V29","Quarterly"
"P1372","V21","Quarterly"
"P1373","V11","Bi-weekly"
"P1374","V8","Bi-weekly"
"P1375","V23","Weekly"
"P1376","V7","Bi-weekly"
"P1377","V8","Daily"
"P1378","V12","Weekly"
"P1379","V4","Daily"
"P1380","V16","Monthly"
"P1381","V10","Daily"
"P1382","V5","Quarterly"
"P1383","V26","Weekly"
"P1384","V7","Bi-weekly"
"P1385","V6","On-Demand"
"P1386","V6","Weekly"
"P1387","V23","Bi-weekly"
"P1388","V12","Quarterly"
"P1389","V6","Monthly"
"P1390","V2","Daily"
"P1391","V20","Quarterly"
"P1392","V23","Quarterly"
"P1393","V28","Bi-weekly"
"P1394","V21","Bi-weekly"
"P1395","V7","Weekly"
"P1396","V1","Quarterly"
"P1397","V11","Daily"
"P1398","V25","Bi-weekly"
"P1399","V29","Quarterly"
"P1400","V2","Monthly"
"P1401","V19","Bi-weekly"
"P1402","V20","Monthly"
"P1403","V25","Quarterly"
"P1404","V23","Weekly"
"P1405","V15","Monthly"
"P1406","V8","Weekly"
"P1407","V27","Monthly"
"P1408","V2","Weekly"
"P1409","V22","Quarterly"
"P1410","V1","Bi-weekly"
"P1411","V1","Monthly"
"P1412","V1","Weekly"
"P1413","V3","Quarterly"
"P1414","V15","Weekly"
"P1415","V21","Daily"
"P1416","V12","Weekly"
"P1417","V1","Monthly"
"P1418","V5","Bi-weekly"
"P1419","V20","Daily"
"P1420","V4","Monthly"
"P1421","V29","Quarterly"
"P1422","V15","Daily"
"P1423","V1","Quarterly"
"P1424","V6","Quarterly"
"P1425","V18","Bi-weekly"
"P1426","V23","Daily"
"P1427","V18","Monthly"
"P1428","V26","Daily"
"P1429","V21","Monthly"
"P1430","V10","Monthly"
"P1431","V6","Daily"
"P1432","V25","Weekly"
"P1433","V12","Daily"
"P1434","V12","Bi-weekly"
"P1435","V20","Bi-weekly"
"P1436","V1","Monthly"
"P1437","V11","Quarterly"
"P1438","V5","Bi-weekly"
"P1439","V12","Weekly"
"P1440","V22","Bi-weekly"
"P1441","V16","Bi-weekly"
"P1442","V30","On-Demand"
"P1443","V16","Monthly"
"P1444","V19","Quarterly"
"P1445","V8","Daily"
"P1446","V10","Bi-weekly"
"P1447","V9","Monthly"
"P1448","V18","On-Demand"
"P1449","V26","Quarterly"
"P1450","V3","Monthly"
"P1451","V27","Quarterly"
"P1452","V7","Quarterly"
"P1453","V7","Monthly"
"P1454","V9","Bi-weekly"
"P1455","V21","Bi-weekly"
"P1456","V27","Bi-weekly"
"P1457","V30","Bi-weekly"
"P1458","V19","Quarterly"
"P1459","V12","Quarterly"
"P1460","V6","Weekly"
"P1461","V21","Bi-weekly"
"P1462","V11","Weekly"
"P1463","V1","Monthly"
"P1464","V15","Bi-weekly"
"P1465","V19","Weekly"
"P1466","V28","Monthly"
"P1467","V13","Bi-weekly"
"P1468","V8","Weekly"
"P1469","V4","Weekly"
"P1470","V1","Monthly"
"P1471","V24","Daily"
"P1472","V14","Quarterly"
"P1473","V12","Quarterly"
"P1474","V7","On-Demand"
"P1475","V22","Quarterly"
"P1476","V10","Quarterly"
"P1477","V30","Monthly"
"P1478","V21","Weekly"
"P1479","V4","Quarterly"
"P1480","V17","Weekly"
"P1481","V29","Bi-weekly"
"P1482","V1","Bi-weekly"
"P1483","V4","Daily"
